"TIME","GEO","DAIRYPROD","UNIT","Value"
"2011","European Union - 27 countries (from 2020)","Raw cows' milk delivered to dairies","Thousand tonnes",":"
"2012","European Union - 27 countries (from 2020)","Raw cows' milk delivered to dairies","Thousand tonnes",":"
"2013","European Union - 27 countries (from 2020)","Raw cows' milk delivered to dairies","Thousand tonnes",":"
"2014","European Union - 27 countries (from 2020)","Raw cows' milk delivered to dairies","Thousand tonnes","133,589.34"
"2015","European Union - 27 countries (from 2020)","Raw cows' milk delivered to dairies","Thousand tonnes","136,680.20"
"2016","European Union - 27 countries (from 2020)","Raw cows' milk delivered to dairies","Thousand tonnes","137,692.77"
"2017","European Union - 27 countries (from 2020)","Raw cows' milk delivered to dairies","Thousand tonnes","140,870.05"
"2018","European Union - 27 countries (from 2020)","Raw cows' milk delivered to dairies","Thousand tonnes","142,194.31"
"2019","European Union - 27 countries (from 2020)","Raw cows' milk delivered to dairies","Thousand tonnes",":"
"2020","European Union - 27 countries (from 2020)","Raw cows' milk delivered to dairies","Thousand tonnes",":"
"2011","European Union - 28 countries (2013-2020)","Raw cows' milk delivered to dairies","Thousand tonnes",":"
"2012","European Union - 28 countries (2013-2020)","Raw cows' milk delivered to dairies","Thousand tonnes",":"
"2013","European Union - 28 countries (2013-2020)","Raw cows' milk delivered to dairies","Thousand tonnes",":"
"2014","European Union - 28 countries (2013-2020)","Raw cows' milk delivered to dairies","Thousand tonnes","148,418.14"
"2015","European Union - 28 countries (2013-2020)","Raw cows' milk delivered to dairies","Thousand tonnes","151,871.50"
"2016","European Union - 28 countries (2013-2020)","Raw cows' milk delivered to dairies","Thousand tonnes","152,234.77"
"2017","European Union - 28 countries (2013-2020)","Raw cows' milk delivered to dairies","Thousand tonnes","156,014.75"
"2018","European Union - 28 countries (2013-2020)","Raw cows' milk delivered to dairies","Thousand tonnes","157,382.42"
"2019","European Union - 28 countries (2013-2020)","Raw cows' milk delivered to dairies","Thousand tonnes",":"
"2020","European Union - 28 countries (2013-2020)","Raw cows' milk delivered to dairies","Thousand tonnes",":"
"2011","European Union - 27 countries (2007-2013)","Raw cows' milk delivered to dairies","Thousand tonnes",":"
"2012","European Union - 27 countries (2007-2013)","Raw cows' milk delivered to dairies","Thousand tonnes",":"
"2013","European Union - 27 countries (2007-2013)","Raw cows' milk delivered to dairies","Thousand tonnes",":"
"2014","European Union - 27 countries (2007-2013)","Raw cows' milk delivered to dairies","Thousand tonnes","147,895.45"
"2015","European Union - 27 countries (2007-2013)","Raw cows' milk delivered to dairies","Thousand tonnes","151,358.07"
"2016","European Union - 27 countries (2007-2013)","Raw cows' milk delivered to dairies","Thousand tonnes","151,745.11"
"2017","European Union - 27 countries (2007-2013)","Raw cows' milk delivered to dairies","Thousand tonnes","155,537.96"
"2018","European Union - 27 countries (2007-2013)","Raw cows' milk delivered to dairies","Thousand tonnes","156,928.95"
"2019","European Union - 27 countries (2007-2013)","Raw cows' milk delivered to dairies","Thousand tonnes",":"
"2020","European Union - 27 countries (2007-2013)","Raw cows' milk delivered to dairies","Thousand tonnes",":"
"2011","European Union - 25 countries (2004-2006)","Raw cows' milk delivered to dairies","Thousand tonnes",":"
"2012","European Union - 25 countries (2004-2006)","Raw cows' milk delivered to dairies","Thousand tonnes",":"
"2013","European Union - 25 countries (2004-2006)","Raw cows' milk delivered to dairies","Thousand tonnes",":"
"2014","European Union - 25 countries (2004-2006)","Raw cows' milk delivered to dairies","Thousand tonnes","146,390.40"
"2015","European Union - 25 countries (2004-2006)","Raw cows' milk delivered to dairies","Thousand tonnes","149,936.72"
"2016","European Union - 25 countries (2004-2006)","Raw cows' milk delivered to dairies","Thousand tonnes","150,261.62"
"2017","European Union - 25 countries (2004-2006)","Raw cows' milk delivered to dairies","Thousand tonnes","153,917.14"
"2018","European Union - 25 countries (2004-2006)","Raw cows' milk delivered to dairies","Thousand tonnes","155,170.84"
"2019","European Union - 25 countries (2004-2006)","Raw cows' milk delivered to dairies","Thousand tonnes",":"
"2020","European Union - 25 countries (2004-2006)","Raw cows' milk delivered to dairies","Thousand tonnes",":"
"2011","European Union - 15 countries (1995-2004)","Raw cows' milk delivered to dairies","Thousand tonnes",":"
"2012","European Union - 15 countries (1995-2004)","Raw cows' milk delivered to dairies","Thousand tonnes",":"
"2013","European Union - 15 countries (1995-2004)","Raw cows' milk delivered to dairies","Thousand tonnes",":"
