"Laikotarpis","Rodiklis","Administracinė teritorija","Matavimo vienetai","Reikšmė"
"2015","Surinkta kiaušinių","Lietuvos Respublika","mln. vnt.","786.2"
"2016","Surinkta kiaušinių","Lietuvos Respublika","mln. vnt.","788.9"
"2017","Surinkta kiaušinių","Lietuvos Respublika","mln. vnt.","730.1"
"2018","Surinkta kiaušinių","Lietuvos Respublika","mln. vnt.","891.7"
"2019","Surinkta kiaušinių","Lietuvos Respublika","mln. vnt.","858.2"
"2015","Surinkta kiaušinių","Sostinės regionas","mln. vnt.","288.7"
"2016","Surinkta kiaušinių","Sostinės regionas","mln. vnt.","348.6"
"2017","Surinkta kiaušinių","Sostinės regionas","mln. vnt.","222.9"
"2018","Surinkta kiaušinių","Sostinės regionas","mln. vnt.","298.0"
"2019","Surinkta kiaušinių","Sostinės regionas","mln. vnt.","243.3"
"2015","Surinkta kiaušinių","Vilniaus apskritis","mln. vnt.","288.7"
"2016","Surinkta kiaušinių","Vilniaus apskritis","mln. vnt.","348.6"
"2017","Surinkta kiaušinių","Vilniaus apskritis","mln. vnt.","222.9"
"2018","Surinkta kiaušinių","Vilniaus apskritis","mln. vnt.","298.0"
"2019","Surinkta kiaušinių","Vilniaus apskritis","mln. vnt.","243.3"
"2015","Surinkta kiaušinių","Vidurio ir vakarų Lietuvos regionas","mln. vnt.","497.5"
"2016","Surinkta kiaušinių","Vidurio ir vakarų Lietuvos regionas","mln. vnt.","440.3"
"2017","Surinkta kiaušinių","Vidurio ir vakarų Lietuvos regionas","mln. vnt.","507.2"
"2018","Surinkta kiaušinių","Vidurio ir vakarų Lietuvos regionas","mln. vnt.","593.7"
"2019","Surinkta kiaušinių","Vidurio ir vakarų Lietuvos regionas","mln. vnt.","614.9"
"2015","Surinkta kiaušinių","Alytaus apskritis","mln. vnt.","10.1"
"2016","Surinkta kiaušinių","Alytaus apskritis","mln. vnt.","6.7"
"2017","Surinkta kiaušinių","Alytaus apskritis","mln. vnt.","5.7"
"2018","Surinkta kiaušinių","Alytaus apskritis","mln. vnt.","10.0"
"2019","Surinkta kiaušinių","Alytaus apskritis","mln. vnt.","10.9"
"2015","Surinkta kiaušinių","Kauno apskritis","mln. vnt.","109.1"
"2016","Surinkta kiaušinių","Kauno apskritis","mln. vnt.","97.3"
"2017","Surinkta kiaušinių","Kauno apskritis","mln. vnt.","81.2"
"2018","Surinkta kiaušinių","Kauno apskritis","mln. vnt.","96.1"
"2019","Surinkta kiaušinių","Kauno apskritis","mln. vnt.","110.0"
"2015","Surinkta kiaušinių","Klaipėdos apskritis","mln. vnt.","43.9"
"2016","Surinkta kiaušinių","Klaipėdos apskritis","mln. vnt.","36.8"
"2017","Surinkta kiaušinių","Klaipėdos apskritis","mln. vnt.","126.5"
"2018","Surinkta kiaušinių","Klaipėdos apskritis","mln. vnt.","157.5"
"2019","Surinkta kiaušinių","Klaipėdos apskritis","mln. vnt.","192.2"
"2015","Surinkta kiaušinių","Marijampolės apskritis","mln. vnt.","11.9"
"2016","Surinkta kiaušinių","Marijampolės apskritis","mln. vnt.","8.2"
"2017","Surinkta kiaušinių","Marijampolės apskritis","mln. vnt.","6.8"
"2018","Surinkta kiaušinių","Marijampolės apskritis","mln. vnt.","10.4"
"2019","Surinkta kiaušinių","Marijampolės apskritis","mln. vnt.","11.9"
"2015","Surinkta kiaušinių","Panevėžio apskritis","mln. vnt.","57.5"
"2016","Surinkta kiaušinių","Panevėžio apskritis","mln. vnt.","61.0"
"2017","Surinkta kiaušinių","Panevėžio apskritis","mln. vnt.","54.9"
"2018","Surinkta kiaušinių","Panevėžio apskritis","mln. vnt.","49.7"
"2019","Surinkta kiaušinių","Panevėžio apskritis","mln. vnt.","46.8"
"2015","Surinkta kiaušinių","Šiaulių apskritis","mln. vnt.","52.7"
"2016","Surinkta kiaušinių","Šiaulių apskritis","mln. vnt.","46.7"
"2017","Surinkta kiaušinių","Šiaulių apskritis","mln. vnt.","44.1"
"2018","Surinkta kiaušinių","Šiaulių apskritis","mln. vnt.","54.1"
"2019","Surinkta kiaušinių","Šiaulių apskritis","mln. vnt.","51.5"
"2015","Surinkta kiaušinių","Tauragės apskritis","mln. vnt.","10.3"
"2016","Surinkta kiaušinių","Tauragės apskritis","mln. vnt.","6.9"
"2017","Surinkta kiaušinių","Tauragės apskritis","mln. vnt.","5.8"
"2018","Surinkta kiaušinių","Tauragės apskritis","mln. vnt.","7.8"
"2019","Surinkta kiaušinių","Tauragės apskritis","mln. vnt.","9.0"
"2015","Surinkta kiaušinių","Telšių apskritis","mln. vnt.","161.2"
"2016","Surinkta kiaušinių","Telšių apskritis","mln. vnt.","138.9"
"2017","Surinkta kiaušinių","Telšių apskritis","mln. vnt.","148.4"
"2018","Surinkta kiaušinių","Telšių apskritis","mln. vnt.","168.3"
"2019","Surinkta kiaušinių","Telšių apskritis","mln. vnt.","139.7"
"2015","Surinkta kiaušinių","Utenos apskritis","mln. vnt.","40.8"
"2016","Surinkta kiaušinių","Utenos apskritis","mln. vnt.","37.8"
"2017","Surinkta kiaušinių","Utenos apskritis","mln. vnt.","33.8"
"2018","Surinkta kiaušinių","Utenos apskritis","mln. vnt.","39.8"
"2019","Surinkta kiaušinių","Utenos apskritis","mln. vnt.","42.9"
